col,city
LAGUNERO,GOMEZ PALACIO
NI�OS HEROES,TAMPICO
OCCIDENTAL,FRONTERA
CENTRO AREA 7,CUAUHTEMOC
LA NOGALERA,GUADALAJARA
CHAPALITA,GUADALAJARA
TAPACHULA CENTRO,TAPACHULA
INSURGENTES MIXCOAC,BENITO JUAREZ
DELICIAS,DELICIAS
BARRIO SAN LUCAS,COYOACAN
SANTA ANITA,TLAJOMULCO DE ZUNIGA
IND BALBANERA,CORREGIDORA
ZONA CENTRO,SALTILLO
CENTRO,OJOCALIENTE
INDEPENDENCIA,APATZINGAN
LOMAS VERDES 3� SECCION,NAUCALPAN
GRANJAS NUEVAS,MEXICALI
UMAN,MERIDA
NUEVO CASAS GRANDES,NUEVO CASAS GRANDES
CORDOBA CENTRO,CORDOBA
LOS LERMAS,GUADALUPE
PALMARES RESIDENCIAL,MONTERREY
AMERICANA,GUADALAJARA
ACULCO,IZTAPALAPA
XOCOYAHUALCO,TLALNEPANTLA DE BAZ
TEQUISQUIAPAN,TEQUISQUIAPAN
MAGUEYITOS,ALTOTONGA
SANTA FE,ALVARO OBREGON
CENTRO,XALAPA
RESIDENCIAL VICTORIA,ZAPOPAN
NUEVO CASAS GRANDES CENTRO,NUEVO CASAS GRANDES
VILLA SAN ANTONIO,GUADALUPE
SAN LORENZO MEXICO,TLALNEPANTLA
SAN AGUSTIN,ZACATLAN
BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS
LAS FUENTES,REYNOSA
CHAPULTEPEC COUNTRY,GUADALAJARA
IRAPUATO CENTRO,IRAPUATO
FELIPE CARRILLO PUER,QUERETARO
CIUDAD INDUSTRIAL,CENTRO
SAN PEDRO DE LOS PINOS,BENITO JUAREZ
EL PUEBLITO (VILLA C,CORREGIDORA
HACIENDA OJO DE AGUA,TECAMAC
COLLI URBANO,ZAPOPAN
FERROCARRIL,GUADALAJARA
BELLA VISTA,MONTERREY
LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS
ZONA INDUSTRIAL CHALCO,CHALCO
LAS PALMAS,MANZANILLO
PUERTO ESCONDIDO,SAN PEDRO MIXTEPEC-JUQUILA
CIRCUNVALACION OBLATOS,GUADALAJARA
VERDE VALLE,GUADALAJARA
FRANCISCO I MADERO,MONTERREY
LA PRECIOSA,AZCAPOTZALCO
LINDAVISTA,GUSTAVO A MADERO
LA HUERTA,MORELIA
CENTRO,PUEBLA
SECCION 3,TOLUCA
PRIVADA RESIDENCIAL MAGNOLIAS,MATAMOROS
MIGUEL HIDALGO,TLALNEPANTLA DE BAZ
LA NORIA,XOCHIMILCO
CENTRO,TULANCINGO DE BRAVO
J MARIA ROSADO,LAS CHOAPAS
ANZURES,MIGUEL HIDALGO
LAZARO CARDENAS,MORELIA
CENTRAL DE ABASTOS,PUEBLA
LAS HADAS,AGUASCALIENTES
TORREON JARDIN,TORREON
MEXICO NUEVO,ATIZAPAN DE ZARAGOZA
EL RETIRO,GUADALAJARA
STA MARIA OZUMBILL,TECAMAC
NUEVA KUKULKAN,MERIDA
TORREON JARDIN,TORREON
CENTRO,BUENAVISTA DE CUELLAR
JUAN ALDAMA,JUAN ALDAMA
SAN JOSE INSURGENTES,BENITO JUAREZ
CENTRO,OCOTLAN DE MORELOS
RESERVA TERRITORIAL,XALAPA
NAUCALPAN,NAUCALPAN DE JUAREZ
VISTA HERMOSA,MONTERREY
LA MANGA,HERMOSILLO
SAN JULIAN CENTRO,SAN JULIAN
VALLADOLID CENTRO,VALLADOLID
CAMPESTRE CHURUBUSCO,COYOACAN
ESPA�A,AGUASCALIENTES
PASO BLANCO,JESUS MARIA
CENTRO INDUSTRIAL TLALNEPANTLA,TLALNEPANTLA DE BAZ
SAN SEBASTIAN,TOLUCA
CENTRO,HEROICA CIUDAD DE TLAXIACO
LOMAS DE GUADALUPE,SAN JUAN DEL RIO
ROMA SUR,CUAUHTEMOC
HUINALA,APODACA
ANAHUAC,MIGUEL HIDALGO
COSTA DE ORO,BOCA DEL RIO
DEL VALLE,BENITO JUAREZ
POLANCO REFORMA,MIGUEL HIDALGO
INFONAVIT CERRO BLAN,HIDALGO DEL PARRAL
LA LAGUNA,COMONDU
ALAMOS,BENITO JUAREZ
ROMA SUR,CUAUHTEMOC
CIUDAD MANUEL DOBLADO CENTRO,MANUEL DOBLADO
SAN BARTOLO NAUCALPAN NAUCALPA,NAUCALPAN
JARDINES DE LA RIVER,SAN LUIS POTOSI
SANTA ROSA,LOS CABOS
JARDINES DE CELAYA 2,CELAYA
EL ZAPOTE,CELAYA
CARTAGENA,TULTITLAN
DEL VALLE,BENITO JUAREZ
DEL MAESTRO,MONTERREY
SANTA ROSA,CHIMALHUACAN
CENTRO,MONTERREY
PRESIDENTES,CHIHUAHUA
AMECHE,APASEO EL GRANDE
TEQUISISTLAN,TEZOYUCA
LOMAS PONIENTE,CIUDAD VALLES
MOCTEZUMA PONIENTE,ZAPOPAN
EJIDO MATAMOROS,TIJUANA
SOLEDAD DE GRACIANO,SOLEDAD DE GRACIANO SANCHEZ
COLINAS DE SAN JERONIMO,MONTERREY
COL STA COLETA,GUSTAVO A MADERO
LA ESPERANZA EL NARANJO SLP,EL NARANJO
PLAN DE GUANAJUATO,IRAPUATO
ROMA SUR,CUAUHTEMOC
INDUSTRIAL VALLEJO,AZCAPOTZALCO
DR ARROYO CENTRO,DOCTOR ARROYO
MULTIPARK PARQUE IND,APODACA
TULIPANES,EBANO
JUAREZ,CUAUHTEMOC
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
SAN RAFAEL,CUAUHTEMOC
ROMA NORTE,CUAUHTEMOC
APASEO EL GRANDE CENTRO,APASEO EL GRANDE
SAN FRANCISCO CUAUTLALPAN,NAUCALPAN DE JUAREZ
DEL VALLE CENTRO,BENITO JUAREZ
MIGUEL HIDALGO,CULIACAN
FRACC REAL DEL ANGEL,CENTRO
PUEBLA TEXTIL,PUEBLA
ANZURES,MIGUEL HIDALGO
AMECA CENTRO,AMECA
SAN MIGUEL XOXTLA,SAN MIGUEL XOXTLA
CIUDAD INDUSTRIAL,CELAYA
CENTRO,MORELOS
SAN NICOLAS TLAXCOLP,TLALNEPANTLA DE BAZ
RICARDO FLORES MAGON,CUERNAVACA
CABO SAN LUCAS CENTR,LOS CABOS
29 DE JULIO,GUADALUPE
CHAPULTEPEC,TIJUANA
CIUDAD GUADALUPE CEN,GUADALUPE
CHURUBUSCO,MONTERREY
TEQUISQUIAPAN,SAN LUIS POTOSI
TLACATECO,TEPOTZOTLAN
SAN CARLOS,GUADALAJARA
CLAVERIA,AZCAPOTZALCO
JARDINES EN LA MONTA�A,TLALPAN
ANZURES,MIGUEL HIDALGO
CENTRO,TUXTLA GUTIERREZ
UNIDAD Y TRABAJO,ALAMO TEMAPACHE
EJDOS CARR MTY,REYNOSA
PARQUE INDUSTRIAL COLONIAL,REYNOSA
CENTRO,AUTLAN DE NAVARRO
LAS MISIONES,CHIHUAHUA
CHAPALITA,GUADALAJARA
CENTRO CIUDAD DE MEX,CUAUHTEMOC
LAS MISIONES,IRAPUATO
AGRICOLA PANTITLAN,IZTACALCO
CHACHAPA,AMOZOC
EL TREBOL,TEPOTZOTLAN
ZONA INDUSTRIAL,GUASAVE
BELLAS LOMAS,SAN LUIS POTOSI
BOSQUE DE LAS LOMAS,MIGUEL HIDALGO
TABACHINES,ZAPOPAN
NAPOLES,BENITO JUAREZ
PARQUE INDUSTRIAL TO,TOLUCA
ARAGON LA VILLA,GUSTAVO A MADERO
CENTRO,GUASAVE
FRAMBOYANES,CADEREYTA JIMENEZ
ATIZAPAN CENTRO,ATIZAPAN DE ZARAGOZA
CLUB DE GOLF VALLE E,ATIZAPAN DE ZARAGOZA
ARBOLEDAS,QUERETARO
CIUDAD IND,LEON
BELLA VISTA,MONTERREY
LOS ARCOS,HERMOSILLO
CENTRO,TIERRA BLANCA
GRANJAS MEXICO,IZTACALCO
JORGE ALMADA,CULIACAN
CAMPESTRE CHURUBUSCO,COYOACAN
DIEZ DE MAYO,CULIACAN
ESCANDON,MIGUEL HIDALGO
JARDINES DE LA CONCE,AGUASCALIENTES
LA JOYA,GUSTAVO A MADERO
SANTA MARIA,MONTERREY
SAN MARTIN DE LAS PIRAMIDES,SAN MARTIN DE LAS PIRAMIDES
MEXICO NUEVO,ATIZAPAN DE ZARAGOZA
NAPOLES,BENITO JUAREZ
OBRERA,CUAUHTEMOC
VERTIZ NARVARTE,BENITO JUAREZ
CAMPESTRE LA SILLA,GUADALUPE
SAN MATEO IXTACALCO,CUAUTITLAN IZCALLI
AMPL 20 DE NOVIEMBRE,DURANGO
SAN MATEO IXTACALCO,CUAUTITLAN
LA PERLA,GUADALAJARA
OBRERA,SALAMANCA
DESARROLLO LAS TORRE,MONTERREY
SAN PABLO,IZTAPALAPA
RINCON DE AGUA AZUL,GUADALAJARA
EL ROSEDAL,COYOACAN
GRANJAS MEXICO,IZTACALCO
TARIMBARO,TARIMBARO
NUEVO LAREDO CENTRO,NUEVO LAREDO
LAS CEIBAS,LAGOS DE MORENO
LA ANGOSTURA,SAN LUIS POTOSI
CENTRO,VERACRUZ
ALFREDO V BONFIL,MAZATLAN
COL PALO ALTO,CUAJIMALPA DE MORELOS
DEL SUR,GUADALAJARA
SAN PEDRO DE LOS PINOS,BENITO JUAREZ
EL MESON DE LAS VALL,TAMAZULA DE GORDIANO
GUADALUPE INN,ALVARO OBREGON
CANCUN CENTRO,BENITO JUAREZ
STA ANA AMATLAN,BUENAVISTA
CENTRO,CHIAUTEMPAN
PARQUE INDUSTRIAL BELENES NTE,ZAPOPAN
COL BONDOJITO,GUSTAVO A MADERO
CONDESA,CUAUHTEMOC
ZONA CENTRO,MEXICALI
FRACC EL ROBLE,DURANGO
FRACC MIRADOR DEL PUNHUATO,MORELIA
PENSIL SUR,MIGUEL HIDALGO
BENITO JUAREZ,RIO BLANCO
CENTRO,CULIACAN
ZONA INDUSTRIAL,GUADALAJARA
TRES GUERRAS,CELAYA
CONSTITUCION,PACHUCA DE SOTO
TIERRA BLANCA CENTRO,TIERRA BLANCA
MIGUEL HIDALGO,CENTRO
STA ANITA,HUAMANTLA
RAFAEL LUCIO,XALAPA
ATEMAJAC DEL VALLE,ZAPOPAN
CONTRY TESORO,MONTERREY
LOS REYES ACAQUILPAN,LA PAZ
MIGUEL HIDALGO,CULIACAN
CENTRO,AGUA PRIETA
BUENAVISTA,MERIDA
LOTES URBANOS,DELICIAS
FRACC. DEL CARMEN,ENSENADA
PARQUE INDUSTRIAL EL,APODACA
PALO BLANCO,SAN PEDRO GARZA GARCIA
INDUSTRIAL VALLEJO,AZCAPOTZALCO
EL RETO�O,IZTAPALAPA
ZONA URBANA RIO TIJUANA,TIJUANA
SAN JUAN DE OCOTAN,ZAPOPAN
BOSQUES DE TARANGO,ALVARO OBREGON
TLALPAN CENTRO,TLALPAN
MIGUEL HIDALGO,JIUTEPEC
NARVARTE PONIENTE,BENITO JUAREZ
MERCADO DE ABASTOS FCO VILLA,DURANGO
SAN GABRIEL CUAUTLA,TLAXCALA
LETRAN VALLE,BENITO JUAREZ
FRACC G RICALDE CD INDUSTRIAL,MERIDA
CENTRO AREA 6,CUAUHTEMOC
BOSQUE DE ECHEGARAY,NAUCALPAN DE JUAREZ
EMILIANO ZAPATA,MONTERREY
CENTRO,LEON
AHUALULCO DE MERCADO CENTRO,AHUALULCO DE MERCADO
LA NOGALERA,GUADALAJARA
CORREDOR IND QUETZAT,HUEJOTZINGO
BENITO JUAREZ CENTRO,JUAREZ
LA JOYA IXTACALA,TLALNEPANTLA DE BAZ
CENTRAL DE ABASTOS,CAJEME
CORTAZAR CENTRO,CORTAZAR
PARRAS DE LA FUENTE,PARRAS
ROMA SUR,CUAUHTEMOC
LOS PIRULES,TLALNEPANTLA DE BAZ
QUINTIN ARAUZ,PARAISO
VILLA DE CORTES,BENITO JUAREZ
"MERIDA, CENTRO",MERIDA
SANTO TOMAS,AZCAPOTZALCO
RAUL ROMANILLO,AHOME
PARQUE SAN ANDRES,COYOACAN
SAN LORENZO,TLALNEPANTLA
EL CONDE,NAUCALPAN
PARQUE INDUSTRIAL BE,ZAPOPAN
LA ERMITA,AMATLAN DE LOS REYES
CIUDAD GUZMAN CENTRO,ZAPOTLAN EL GRANDE
RIO TIJUANA 3A ETAPA,TIJUANA
ESCANDON II SECCION,MIGUEL HIDALGO
GUAD TECHNOLOGY PARK,ZAPOPAN
LOS ANGELES,MORELIA
EJIDO MEZQUITAL,APODACA
COMPLEJO INDUSTRIAL,CUAUTITLAN IZCALLI
SAN JOSE DE LA ESCAL,GUSTAVO A MADERO
CENTRAL DE ABASTO,IZTAPALAPA
RESIDENCIAL MILITAR,ZAPOPAN
YAMILLE,TIJUANA
VISTA ALEGRE,QUERETARO
CHIMALISTAC,ALVARO OBREGON
MANUEL R DIAZ,CIUDAD MADERO
LA RINCONADA,ZAMORA
JUAREZ,CUAUHTEMOC
GUADALUPE INN,ALVARO OBREGON
COL SAN SEBASTIAN,AZCAPOTZALCO
APAXCO DE OCAMPO,APAXCO
PRADOS DE PROVIDENCIA,GUADALAJARA
SANTA FE CUAJIMALPA,CUAJIMALPA DE MORELOS
CIVAC,JIUTEPEC
SANTA CRUZ ATOYAC,BENITO JUAREZ
MITRAS CENTRO,MONTERREY
IND JURICA,QUERETARO
TEPATITLAN DE MORELOS CENTRO,TEPATITLAN DE MORELOS
CUCH DEL TESORO,GUSTAVO A MADERO
MONTERREY CENTRO,MONTERREY
CORTAZAR CENTRO,CORTAZAR
VENUSTIANO CARRANZA,TLALNEPANTLA DE BAZ
PRESIDENTE EJIDALES,COYOACAN
SANTA MARIA TONANTZINTLA,SAN ANDRES CHOLULA
FRACC VILLA DEL MAR,CARMEN
CENTRO DE LA CIUDAD,CUAUHTEMOC
LADRON DE GUEVARA,GUADALAJARA
REAL PROVIDENCIA,LEON
BONDOJITO,GUSTAVO A MADERO
VIRREYES I,CHIHUAHUA
VERACRUZ CENTRO,VERACRUZ
AMECA CENTRO,AMECA
LOS MORALES POLANCO,MIGUEL HIDALGO
LA GUADALUPANA,ECATEPEC DE MORELOS
OBREGON,LEON
ZONA INDUSTRIAL,SAN LUIS POTOSI
ARAGON LA VILLA,GUSTAVO A MADERO
EL CENTRO,ATOTONILCO EL ALTO
CHAPULTEPEC ALAMAR,TIJUANA
VIVEROS DE LA LOMA,TLALNEPANTLA DE BAZ
TOLUCA,TOLUCA
CIMATARIO,SANTIAGO DE QUERETARO
DEL NORTE,MONTERREY
INFONAVIT SAN CAYETANO,SAN JUAN DEL RIO
QUINCE DE MAYO,TEPIC
ZONA INDUSTRIAL ANEX,PUEBLA
GUADALUPE INN,ALVARO OBREGON
EL PASO DEL COYOTE,SAN JUAN DE SABINAS
MACIAS ARELLANO,AGUASCALIENTES
SAN RAFAEL,CUAUHTEMOC
INDEPENDENCIA ORIENT,GUADALAJARA
ALMACENTRO,APODACA
MARIANO MATAMOROS (C,TIJUANA
CUAUTITLAN CENTRO,CUAUTITLAN
CARR LIBRE TIJUANA E,PLAYAS DE ROSARITO
DEL VALLE CENTRO,BENITO JUAREZ
SAN JUAN COLON,IZUCAR DE MATAMOROS
NUEVA ESPA�A,GUADALAJARA
POLANCO,MIGUEL HIDALGO
LOMAS DE TECAMACHALCO,NAUCALPAN DE JUAREZ
EJIDO SUR,SOLIDARIDAD
SAN LUCAS,IZTAPALAPA
JARDINES DEL MORAL,LEON
LAS FUENTES SECCION LOMAS,REYNOSA
PERIODISTA,PACHUCA DE SOTO
20 DE NOVIEMBRE,VENUSTIANO CARRANZA
CENTRO,ZAPOPAN
LAS HUERTAS 4TA SECC,TIJUANA
PLAZA GUADALUPE,ZAPOPAN
SANTA ANITA,IZTACALCO
VIADUCTO PIEDAD,IZTACALCO
LIBERACION,AZCAPOTZALCO
DEL VALLE NORTE,BENITO JUAREZ
CENTRO DE LA CIUDAD,CUAUHTEMOC
CENTRO,CHINAMECA
TAXCO DE ALARCON CENTRO,TAXCO DE ALARCON
ALAMOS,BENITO JUAREZ
IGNACIO ZARAGOZA,COMONDU
TANGAMANGA,SAN LUIS POTOSI
BUGAMBILIAS,GUASAVE
LAS AGUILAS,ALVARO OBREGON
MIXCOAC,BENITO JUAREZ
GREMIAL,AGUASCALIENTES
BQUES DEL NOGALAR,SAN NICOLAS DE LOS GARZA
CIUDAD IND,MERIDA
FRANCISCO I MADERO,SAN MATEO ATENCO
SAN CRISTOBAL TEPATLAXCO,SAN MARTIN TEXMELUCAN
MEXICO NUEVO,ATIZAPAN DE ZARAGOZA
SAN JUAN XOCOTLA,TULTEPEC
SAN JULIAN CENTRO,SAN JULIAN
AURORAS,LOS CABOS
EMILIANO ZAPATA,MONTERREY
LOMAS DE CHAPULTEPEC I SECCION,MIGUEL HIDALGO
GRANJAS MEXICO,IZTACALCO
CIUDAD INDUSTRIAL,DURANGO
PARQUE IND EXPORTEC II,TOLUCA
PARQUE IND ESCOBEDO,GENERAL ESCOBEDO
SAN ANDRES CHOLULA,SAN ANDRES CHOLULA
LA PUERTA DE HIERRO,PACHUCA DE SOTO
FRANCISCO I MADERO,MIGUEL HIDALGO
ISLA VERACRUZ,ISLA
CIUDAD INDUSTRIAL,LEON
LOS REYES,TLALNEPANTLA DE BAZ
CENTRO,CANANEA
DEL VALLE,SABINAS
MEXICO NUEVO,ATIZAPAN DE ZARAGOZA
FELIPE ANGELES,TULANCINGO DE BRAVO
EX HDA DE STA MONICA,TLALNEPANTLA
JARDIN,SAN LUIS POTOSI
LA JOYA IXTACALA,TLALNEPANTLA DE BAZ
LINDAVISTA,OCOTLAN
LA ENCARNACION,APODACA
CHAPULTEPEC SUR,MORELIA
RESIDENCIAL BQUES DE STA ELENA,POZA RICA DE HIDALGO
CIUDAD DEL CARMEN CENTRO,CARMEN
LOS MOCHIS CENTRO,AHOME
16 DE SEPTIEMBRE,ECATEPEC DE MORELOS
EMILIANO ZAPATA,CUAUTLA
8 DE AGOSTO,ALVARO OBREGON
TLAXCALANCINGO,SAN ANDRES CHOLULA
SAN PEDRO NOH PAT,KANASIN
PARQUE INDUSTRIAL LA SILLA,GUADALUPE
SAN SALVADOR TIZATLALLI,METEPEC
CENTRO UMAN,UMAN
MOCTEZUMA 2A SECCION,VENUSTIANO CARRANZA
GUADALUPE,CULIACAN
DEL VALLE CENTRO,BENITO JUAREZ
ALGARIN,CUAUHTEMOC
BUCERIAS,BAHIA DE BANDERAS
CENTRO,PUERTO PE�ASCO
SAN JERONIMO TEPETLA,TLALNEPANTLA
SANTA GERTRUDIS,ATENCO
TABASCO,TABASCO
TLAXOPAN 1A SECCION,XOCHIMILCO
EL PARQUE,NAUCALPAN
PARQUE INDUSTRIAL SA,TLALNEPANTLA DE BAZ
FRACC ALCE BLANCO,NAUCALPAN
CENTRO,HUEJUTLA DE REYES
REAL ALTAMIRA,ALTAMIRA
ZIMEX,SANTA CATARINA
JARDINES DE LA CRUZ,GUADALAJARA
SANTA ANA TEPETITLAN,ZAPOPAN
LINDAVISTA,GUSTAVO A MADERO
NUEVO IDEAL PATOS,NUEVO IDEAL
DEL VALLE,BENITO JUAREZ
CENTRO,MARTINEZ DE LA TORRE
EL GRANJERO,JUAREZ
CENTRO,TAMAZULA DE GORDIANO
GRANJAS MEXICO,IZTACALCO
SANTA GERTRUDIS COPO,MERIDA
RAFAEL LUCIO,XALAPA
PRIMER CUADRO,AHOME
NUEVA VALLEJO,GUSTAVO A MADERO
DEL VALLE SECT ORIEN,SAN PEDRO GARZA GARCIA
CREDITO CONSTRUCTOR,BENITO JUAREZ
EL BECERRO,CELAYA
SAN MIGUEL,IZTACALCO
ALCE BLANCO,NAUCALPAN
SANTIAGO ACATLAN,TEPEACA
STA ISABEL INDUSTR,IZTAPALAPA
CENTRO,CELAYA
SAN CRISTOBAL HUICHO,TOLUCA
TORREON JARDIN,TORREON
OBRERA,CUAUHTEMOC
MERCED BALBUENA,VENUSTIANO CARRANZA
CORREDOR INDUSTRIAL,ALTAMIRA
LOMAS VERDES,NAUCALPAN DE JUAREZ
LA ROMANA,TLALNEPANTLA DE BAZ
SAN NICOLAS TLAXCOLP,TLALNEPANTLA DE BAZ
COLONIAL COACALCO,COACALCO
CENTRO DE ABASTOS,SAN LUIS POTOSI
SANTIAGUITO,TULTITLAN
JACARANDAS,CUERNAVACA
TEPATITLAN DE MORELO,TEPATITLAN DE MORELOS
NAPOLES,BENITO JUAREZ
REFORMA AGUA AZUL,PUEBLA
STA ANA TLAPALTITLAN,TOLUCA
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
JUAREZ,CUAUHTEMOC
PUENTE DE IXTLA CENT,PUENTE DE IXTLA
LAS MERCEDES,SAN LUIS POTOSI
VILLAS DE ESCOBEDO,GENERAL ESCOBEDO
SAN RAFAEL,GUADALUPE
OBRERA,SALAMANCA
LOMAS VERDES,NAUCALPAN
EL MIRADOR,COYOACAN
CADEREYTA JIMENEZ CENTRO,CADEREYTA JIMENEZ
RIA MIGUEL HIDALGO 1,TEAPA
COSMOPOLIS,APODACA
LOMAS DE SANTA FE,ALVARO OBREGON
UNIVERSIDAD,TOLUCA
TLALNEPANTLA  CENTRO,TLALNEPANTLA
MEXICO NUEVO,ATIZAPAN DE ZARAGOZA
VENUSTIANO CARRANZA,MONTERREY
CENTRO BARRANQUITAS,GUADALAJARA
SANTA FE,CUAJIMALPA DE MORELOS
SIFON,IZTAPALAPA
CIUDAD IND,CELAYA
JARDINES DE TUXPAN,TUXPAN
SANTA ROSA,KANASIN
RIO VERDE CENTRO,RIO VERDE
FELIPE CARRILLO PUER,QUERETARO
SANTA BARBARA,SAN PEDRO GARZA GARCIA
EL CALVARIO,HEROICA CIUDAD DE HUAJUAPAN DE
REAL DE SAN JAVIER,METEPEC
VISTA HERMOSA,CUERNAVACA
IZCALLI PIRAMIDES,TLALNEPANTLA
ESTRELLA,GUSTAVO A MADERO
ESFUERZO NACIONAL,REYNOSA
NUEVA INDUSTRIAL VALLEJO,GUSTAVO A MADERO
ATLAS,GUADALAJARA
LAS HADAS,AGUASCALIENTES
VISTA HERMOSA,MONTERREY
EMILIANO ZAPATA,SAN ANDRES TUXTLA
MIGUEL HIDALGO,TLALPAN
NARVARTE,BENITO JUAREZ
SAN PABLO DE LAS SALINAS,TULTITLAN
LA AURORA,GUADALAJARA
MERIDA CENTRO,MERIDA
MAZATLAN CENTRO,MAZATLAN
TIZAPAN,ALVARO OBREGON
SANTA ROSA XOCHIAC,ALVARO OBREGON
FRANCIA,TEZIUTLAN
IZCALLI DEL VALLE,TULTITLAN
TONALA CENTRO,TONALA
LAS MARGARITAS,ALTAMIRA
CHUBURNA DE HIDALGO,MERIDA
NUEVA INDUSTRIAL VALLEJO,GUSTAVO A MADERO
RIA PASO Y PLAYA,CARDENAS
CENTRO AREA 9,CUAUHTEMOC
SIGLO XXI,CELAYA
CIUDAD GUZMAN CENTRO,ZAPOTLAN EL GRANDE
DEL VIDRIO,SAN NICOLAS DE LOS GARZA
PANORAMA,LEON
SANTA CRUZ ATOYAC,BENITO JUAREZ
ESFUERZO NACIONAL,ECATEPEC
CIUDAD DELICIAS CENT,DELICIAS
INDUSTRIAL VALLEJO,AZCAPOTZALCO
SAN PEDRO DE LOS PINOS,BENITO JUAREZ
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
IRRIGACION,MIGUEL HIDALGO
DEL VALLE,BENITO JUAREZ
COMUNEROS DE SANTA U,TLALPAN
MORELOS,CUAUHTEMOC
AHUATENO,TEZIUTLAN
DEL VALLE CENTRO,BENITO JUAREZ
SANTA ROSA DE LIMA,CUAUTITLAN IZCALLI
ALCE BLANCO,NAUCALPAN
SAYULA CENTRO,SAYULA
CIUDAD MANTE CENTRO,EL MANTE
ZONA CENTRO,GUADALUPE
JARDINES DE LA CRUZ,GUADALAJARA
SAN NICOLAS TOLENTIN,IZTAPALAPA
MAZATEPEC,EL CARMEN TEQUEXQUITLA
COL STA MARIA AZTAHUACAN,IZTAPALAPA
CIUDAD GRANJA,ZAPOPAN
SAN PEDRO,PUEBLA
URBANA EJIDAL,CINTALAPA
VALLE DEL CAMPESTRE,LEON
NUEVA INDUSTRIAL VAL,GUSTAVO A MADERO
CASTILLO,QUERETARO
CASA BLANCA,PUEBLA
DEL VALLE,SAN PEDRO GARZA GARCIA
TEQUISISTLAN,TEZOYUCA
ISLA CENTRO,ISLA
RESIDENCIAL ZACATENCO,GUSTAVO A MADERO
DEL VALLE,BENITO JUAREZ
MERCADO DE ABASTOS,CULIACAN
DEL VALLE,BENITO JUAREZ
LAS FUENTES,AHOME
TRINIDAD DE LAS HUERTAS,OAXACA DE JUAREZ
CAMPESTRE,MEXICALI
POBLADO ACAPATZINGO,CUERNAVACA
TODOS SANTOS,LA PAZ
DIEZ DE ABRIL,NAUCALPAN DE JUAREZ
OBRERA CENTRO,GUADALAJARA
EL CARMEN,HUEJOTZINGO
LOS HEROES SECC 1 T,ECATEPEC
DIAZ ORDAZ,OAXACA DE JUAREZ
CIUDAD SATELITE,NAUCALPAN DE JUAREZ
SAN BARTOLO ATEPEHUA,GUSTAVO A MADERO
LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO
LETRAN VALLE,BENITO JUAREZ
GONZALEZ ORTEGA,MEXICALI
VILLAHERMOSA,TAMPICO
CUERNAVACA CENTRO,CUERNAVACA
SAN MATEO IXTACALCO,CUAUTITLAN IZCALLI
LOLYTA,GUADALUPE
INDUSTRIAL VALLEJO,AZCAPOTZALCO
SAN FRANCISCO TOTIME,PUEBLA
ESCUINAPA CENTRO,ESCUINAPA
SANTA BARBARA,IXTAPALUCA
RESIDENCIAL ARBOLEDA,ZAPOPAN
ZONA CENTRO,TORREON
MORELOS,GUADALAJARA
ALMADA,CULIACAN
LA PIEDAD DE CAVADAS CENTRO,LA PIEDAD
TANGAMANGA,SAN LUIS POTOSI
PQIND BERNARDO QUINTANA,EL MARQUES
HUILOAPAN DE CUAUHTEMOC CENTRO,HUILOAPAN DE CUAUHTEMOC
LA MALINCHE,GUSTAVO A MADERO
SAN FRANCISCO,LINARES
RESIDENCIAL EMPERADORES,BENITO JUAREZ
CINCO DE FEBRERO,NICOLAS ROMERO
JARDINES DEL VALLE,ZAPOPAN
XOCO,BENITO JUAREZ
LOS ANGELES,SAN MARTIN TEXMELUCAN
POLANCO V SECCION,MIGUEL HIDALGO
JURICA,SANTIAGO DE QUERETARO
OJO CALIENTE,NUEVO LAREDO
BAJA MAQ EL AGUILA,TIJUANA
TABACALERA,CUAUHTEMOC
OTRA NO ESPECIFICADA EN EL CAT,SAN MIGUEL DE ALLENDE
OAXACA CENTRO,OAXACA DE JUAREZ
SANTIAGUITO,SAN FRANCISCO DEL RINCON
SAN NICOLAS TETITZINTLA,TEHUACAN
EL MIRADOR,PUEBLA
SAN JUAN DE OCOTAN,ZAPOPAN
TLALPAN CENTRO,TLALPAN
APODACA CENTRO,APODACA
LINDAVISTA,GUSTAVO A MADERO
LA HABANA,TLAHUAC
ANALCO,GUADALAJARA
LA TINAJA,SAN MIGUEL EL ALTO
LOMAS DE LOS ANGELES,CUAUTITLAN IZCALLI
ADALBERTO TEJEDA,BOCA DEL RIO
ANT CARR PANAMERICANA KM 4/5,ZACATECAS
SAN LORENZO,TLALNEPANTLA DE BAZ
SANTA MARIA DEL PUEBLITO,ZAPOPAN
LOS PINOS LIMON,TIJUANA
HIPODROMO,CUAUHTEMOC
COL CD JARDIN,COYOACAN
LOMAS DE BELLAVISTA,SAN LUIS POTOSI
MOISES SAENZ,APODACA
FRANCISCO VILLA,CULIACAN
CUAUHTEMOC,TECATE
CENTRO,COACALCO DE BERRIOZABAL
SAN JUAN,MATAMOROS
ESFUERZO NAL,REYNOSA
